id,num,raw_text,text,level,level4
1,291384951,10分，理赔方面比较好，比较好。怎么说怎么做。,10分，理赔方面比较好，比较好。怎么说怎么做。,理赔整体服务好,0
2,291384961,"具体说不来,平安车险觉得还可以:大厅人员客气,效率还可以 服务还很好:很难说,感受的东西,不能用语言说出来","具体说不来,平安车险觉得还可以:大厅人员客气,效率还可以 服务还很好:很难说,感受的东西,不能用语言说出来",销售人员服务态度好（热情/耐心/积极/坚持）,1
3,291385012,第一：服务好，车子出车祸，理赔比较快，第二：理赔快，出车祸勘察的比较快,第一：服务好，车子出车祸，理赔比较快,理赔整体时长合理,2
4,291385012,第一：服务好，车子出车祸，理赔比较快，第二：理赔快，出车祸勘察的比较快,第二：理赔快,理赔整体时长合理,2
5,291385012,第一：服务好，车子出车祸，理赔比较快，第二：理赔快，出车祸勘察的比较快,出车祸勘察的比较快,业务等待时间短/到现场快,3
6,291385018,客户称没有打过交道,客户称没有打过交道,无明确原因/没有,4
7,291385055,客户表示各方面都比较好，比较满意：服务比较好，出状况了，打电话给公司来人比较快。,出状况了，打电话给公司来人比较快。,业务等待时间短/到现场快,3
8,291385055,客户表示各方面都比较好，比较满意：服务比较好，出状况了，打电话给公司来人比较快。,客户表示各方面都比较好，比较满意：服务比较好,都好/都满意/差不多,5
9,291385057,公司有没有活动都会提醒客户，出了什么情况都会第一时间到达现场处理，也包括在外地，同类险种比其他保险公司优惠点，服务质量快捷，理赔款项到账快。,公司有没有活动都会提醒客户,保险到期有提醒/有优惠信息提醒/会提前提醒/及时通知,6
10,291385057,公司有没有活动都会提醒客户，出了什么情况都会第一时间到达现场处理，也包括在外地，同类险种比其他保险公司优惠点，服务质量快捷，理赔款项到账快。,出了什么情况都会第一时间到达现场处理，也包括在外地,业务等待时间短/到现场快,3
11,291385057,公司有没有活动都会提醒客户，出了什么情况都会第一时间到达现场处理，也包括在外地，同类险种比其他保险公司优惠点，服务质量快捷，理赔款项到账快。,同类险种比其他保险公司优惠点,保费低/价格优惠合理/有优势,7
12,291385057,公司有没有活动都会提醒客户，出了什么情况都会第一时间到达现场处理，也包括在外地，同类险种比其他保险公司优惠点，服务质量快捷，理赔款项到账快。,理赔款项到账快,工时标准合理充分（赔付快/理赔到账快）,8
13,291385072,我交车险已经交了3年了，我到现在为止我是联系过，但就是帮忙代年审这一块还可以，还有平常就是售后还可以。我到现在除了带年审其他都没有用到过,帮忙代年审这一块还可以，我到现在除了代年审其他都没有用到过,增值服务-服务好,9
14,291385072,我交车险已经交了3年了，我到现在为止我是联系过，但就是帮忙代年审这一块还可以，还有平常就是售后还可以。我到现在除了带年审其他都没有用到过,售后还可以,服务好/态度好（未具体说明）/售后服务好,10
15,291385101,都很好，网上投保很方便,都很好，网上投保很方便,网络投保方便,11
16,291385114,还可以，服务还可以，价格，,还可以，服务还可以,服务态度好（未具体说明）,12
17,291385114,还可以，服务还可以，价格，,价格,保费低/价格优惠合理/有优势,7
18,291385150,客户称没有出过险，只是听朋友说比较好。还没有享受什么服务，具体还不清楚。,客户称没有出过险，只是听朋友说比较好。还没有享受什么服务，具体还不清楚。,不了解/不熟悉不推荐/说不出来/不清楚/没有体验,13
19,291385174,没有出过险，业务员挺诚肯，挺满意，业务方面提前打电话，有时候忙没时间做单子，你们打过来最方便了,没有出过险，业务员挺诚肯，挺满意，业务方面提前打电话，有时候忙没时间做单子，你们打过来最方便了,投保/续保方便（电话/上门办理/渠道多/手续简单）,14
20,291385181,刚买车险没多久，不知道。,刚买车险没多久，不知道。,不了解/不熟悉不推荐/说不出来/不清楚/没有体验,13
21,291385193,"报过一次险,不是什么大问题,一次险,总的还不错:总感觉还可以,没出过什么大事","报过一次险,不是什么大问题,一次险,总的还不错:总感觉还可以,没出过什么大事",都好/都满意/差不多,5
