,num,text,level,pre_forest,pre_NB,pre_lr,probs_lr
0,291384951,10分，理赔方面比较好，比较好。怎么说怎么做。,理赔整体服务好,理赔整体时长合理,理赔整体时长合理,理赔整体服务好,0.143705851439
1,291384961,"具体说不来,平安车险觉得还可以:大厅人员客气,效率还可以 服务还很好:很难说,感受的东西,不能用语言说出来",销售人员服务态度好（热情/耐心/积极/坚持）,销售人员服务态度好（热情/耐心/积极/坚持）,销售人员服务态度好（热情/耐心/积极/坚持）,都好/都满意/差不多,0.202329526423
2,291385012,第一：服务好，车子出车祸，理赔比较快,理赔整体时长合理,理赔整体时长合理,业务等待时间短/到现场快,理赔整体服务好,0.205058383953
3,291385012,第二：理赔快,理赔整体时长合理,理赔整体时长合理,理赔整体时长合理,理赔整体时长合理,0.145634692358
4,291385012,出车祸勘察的比较快,业务等待时间短/到现场快,业务等待时间短/到现场快,业务等待时间短/到现场快,查勘员业务处理时间快,0.102894570309
5,291385018,客户称没有打过交道,无明确原因/没有,无明确原因/没有,无明确原因/没有,无明确原因/没有,0.520733984892
6,291385055,出状况了，打电话给公司来人比较快。,业务等待时间短/到现场快,规模/大公司，有实力（涉及领域广）,业务等待时间短/到现场快,规模/大公司，有实力（涉及领域广）,0.181670662086
7,291385055,客户表示各方面都比较好，比较满意：服务比较好,都好/都满意/差不多,服务态度好（未具体说明）,销售人员服务态度好（热情/耐心/积极/坚持）,销售人员/业务员服务好/销售人员很勤快（未注明）,0.166398995905
8,291385057,公司有没有活动都会提醒客户,保险到期有提醒/有优惠信息提醒/会提前提醒/及时通知,保险到期有提醒/有优惠信息提醒/会提前提醒/及时通知,保险到期有提醒/有优惠信息提醒/会提前提醒/及时通知,保险到期有提醒/有优惠信息提醒/会提前提醒/及时通知,0.483705353938
9,291385057,出了什么情况都会第一时间到达现场处理，也包括在外地,业务等待时间短/到现场快,业务等待时间短/到现场快,业务等待时间短/到现场快,响应时效快/随叫随到,0.171939882424
10,291385057,同类险种比其他保险公司优惠点,保费低/价格优惠合理/有优势,保费低/价格优惠合理/有优势,保费低/价格优惠合理/有优势,险种多样性/产品全,0.193819003178
11,291385057,理赔款项到账快,工时标准合理充分（赔付快/理赔到账快）,工时标准合理充分（赔付快/理赔到账快）,工时标准合理充分（赔付快/理赔到账快）,工时标准合理充分（赔付快/理赔到账快）,0.737577200893
12,291385072,帮忙代年审这一块还可以，我到现在除了代年审其他都没有用到过,增值服务-服务好,无明确原因/没有,都好/都满意/差不多,增值服务-服务好,0.699157377598
13,291385072,售后还可以,服务好/态度好（未具体说明）/售后服务好,销售人员售后跟踪服务好/到位,销售人员服务态度好（热情/耐心/积极/坚持）,服务好/态度好（未具体说明）/售后服务好,0.507846792245
14,291385101,都很好，网上投保很方便,网络投保方便,投保/续保方便（电话/上门办理/渠道多/手续简单）,投保/续保方便（电话/上门办理/渠道多/手续简单）,网络投保方便,0.619646977738
15,291385114,还可以，服务还可以,服务态度好（未具体说明）,服务态度好（未具体说明）,销售人员服务态度好（热情/耐心/积极/坚持）,服务态度好（未具体说明）,0.158596143959
16,291385114,价格,保费低/价格优惠合理/有优势,保费低/价格优惠合理/有优势,保费低/价格优惠合理/有优势,保费低/价格优惠合理/有优势,0.383770423563
17,291385150,客户称没有出过险，只是听朋友说比较好。还没有享受什么服务，具体还不清楚。,不了解/不熟悉不推荐/说不出来/不清楚/没有体验,销售人员业务熟练（介绍的详细）,不了解/不熟悉不推荐/说不出来/不清楚/没有体验,不了解/不熟悉不推荐/说不出来/不清楚/没有体验,0.538635072761
18,291385174,没有出过险，业务员挺诚肯，挺满意，业务方面提前打电话，有时候忙没时间做单子，你们打过来最方便了,投保/续保方便（电话/上门办理/渠道多/手续简单）,保险到期有提醒/有优惠信息提醒/会提前提醒/及时通知,保险到期有提醒/有优惠信息提醒/会提前提醒/及时通知,销售人员业务处理时间快/及时,0.199974769875
19,291385181,刚买车险没多久，不知道。,不了解/不熟悉不推荐/说不出来/不清楚/没有体验,不了解/不熟悉不推荐/说不出来/不清楚/没有体验,不了解/不熟悉不推荐/说不出来/不清楚/没有体验,不了解/不熟悉不推荐/说不出来/不清楚/没有体验,0.495764438555
